2016-05-07 01:32:18,448 [Worker-73] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-07 01:32:18,449 [Worker-73] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-07 01:32:18,451 [Worker-73] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-07 01:32:18,452 [Worker-73] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\backup\Java-Training-Lab\NewsManagmentSystem\src\test\resources
2016-05-07 01:32:40,081 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-07 01:32:40,082 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-07 01:32:40,085 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-07 01:32:40,086 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\backup\Java-Training-Lab\NewsManagmentSystem\src\test\resources
2016-05-07 01:33:12,865 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-07 01:33:12,866 [Worker-77] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-07 01:33:12,869 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-07 01:33:12,870 [Worker-77] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\backup\Java-Training-Lab\NewsManagmentSystem\src\test\resources
2016-05-07 01:35:41,046 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-07 01:35:41,047 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-07 01:35:41,052 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-07 01:35:41,053 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\backup\Java-Training-Lab\NewsManagmentSystem\src\test\resources
2016-05-07 01:37:05,524 [Worker-79] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-07 01:37:05,526 [Worker-79] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-07 01:37:05,529 [Worker-79] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-07 01:37:05,529 [Worker-79] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\backup\Java-Training-Lab\NewsManagmentSystem\src\test\resources
2016-05-07 01:37:31,399 [Worker-73] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-07 01:37:31,400 [Worker-73] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-07 01:37:31,707 [Worker-73] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-07 01:37:31,707 [Worker-73] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\backup\Java-Training-Lab\NewsManagmentSystem\src\test\resources
2016-05-07 01:38:39,290 [Worker-73] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-07 01:38:39,292 [Worker-73] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-07 01:38:39,295 [Worker-73] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-07 01:38:39,296 [Worker-73] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\backup\Java-Training-Lab\NewsManagmentSystem\src\test\resources
2016-05-07 01:39:26,349 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-07 01:39:26,350 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-07 01:39:26,353 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-07 01:39:26,353 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\backup\Java-Training-Lab\NewsManagmentSystem\src\test\resources
2016-05-07 01:39:59,505 [Worker-80] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-07 01:39:59,507 [Worker-80] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-07 01:39:59,511 [Worker-80] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-07 01:39:59,511 [Worker-80] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\backup\Java-Training-Lab\NewsManagmentSystem\src\test\resources
2016-05-07 01:42:02,113 [Worker-82] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-07 01:42:02,113 [Worker-82] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-07 01:42:02,118 [Worker-82] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-07 01:42:02,118 [Worker-82] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\backup\Java-Training-Lab\NewsManagmentSystem\src\test\resources
2016-05-07 18:05:13,677 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.itsupportme:NewsManagmentSystem:0.0.1-SNAPSHOT @ D:\backup\Java-Training-Lab\NewsManagmentSystem\pom.xml.
2016-05-07 18:05:13,677 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.itsupportme:NewsManagmentSystem:0.0.1-SNAPSHOT @ D:\backup\Java-Training-Lab\NewsManagmentSystem\pom.xml.
2016-05-07 18:05:25,198 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-07 18:05:25,285 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-07 18:05:25,853 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-07 18:05:25,854 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\backup\Java-Training-Lab\NewsManagmentSystem\src\test\resources
2016-05-07 18:05:25,856 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.itsupportme:NewsManagmentSystem:0.0.1-SNAPSHOT @ D:\backup\Java-Training-Lab\NewsManagmentSystem\pom.xml.
2016-05-07 18:05:29,324 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-07 18:05:29,328 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-07 18:05:29,330 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
